Bandwidth,NSS,Modulation,codingRate,Datarate,receiversensitivity
20,1,BPSK,0.500000,6.500000,-95.621656
80,1,BPSK,0.500000,29.300000,-89.082056
160,1,BPSK,0.500000,58.500000,-86.079756
40,1,BPSK,0.500000,13.500000,-92.447356
20,1,QPSK,0.500000,13.000000,-89.601656
160,1,QPSK,0.500000,117.000000,-80.058756
80,1,QPSK,0.500000,58.500000,-83.069056
40,1,QPSK,0.500000,27.000000,-86.427356
20,1,QPSK,0.750000,19.500000,-87.840656
160,1,QPSK,0.750000,175.500000,-78.297756
80,1,QPSK,0.750000,87.800000,-81.306056
40,1,QPSK,0.750000,40.500000,-84.666356
40,1,16QAM,0.500000,54.000000,-82.357356
20,1,16QAM,0.500000,26.000000,-85.531656
160,1,16QAM,0.500000,234.000000,-75.988756
80,1,16QAM,0.500000,117.000000,-78.999056
40,1,16QAM,0.750000,81.000000,-80.596356
20,1,16QAM,0.750000,39.000000,-83.770656
160,1,16QAM,0.750000,351.000000,-74.228756
80,1,16QAM,0.750000,175.500000,-77.239056
20,1,64QAM,0.666667,52.000000,-78.214656
40,1,64QAM,0.666667,108.000000,-75.040356
80,1,64QAM,0.666667,234.000000,-71.683056
160,1,64QAM,0.666667,468.000000,-68.672756
20,1,64QAM,0.750000,58.500000,-77.703656
40,1,64QAM,0.750000,121.500000,-74.529356
80,1,64QAM,0.750000,263.300000,-71.170056
160,1,64QAM,0.750000,526.500000,-68.160756
20,1,64QAM,0.833333,65.000000,-77.245656
40,1,64QAM,0.833333,135.000000,-74.071356
80,1,64QAM,0.833333,292.500000,-70.714056
160,1,64QAM,0.833333,585.000000,-67.703756
20,1,256QAM,0.750000,78.000000,-71.774656
20,1,BPSK,0.500000,7.200000,-95.177656
20,1,QPSK,0.500000,14.400000,-89.156656
20,1,QPSK,0.750000,21.700000,-87.375656
40,1,256QAM,0.750000,162.000000,-68.600356
80,1,256QAM,0.750000,351.000000,-65.242056
160,1,256QAM,0.750000,702.000000,-62.231756
20,1,16QAM,0.500000,28.900000,-85.072656
20,1,16QAM,0.750000,43.300000,-83.316656
20,1,64QAM,0.666667,57.800000,-77.755656
20,1,64QAM,0.750000,65.000000,-77.245656
20,1,64QAM,0.833333,72.200000,-76.789656
40,1,256QAM,0.833333,180.000000,-68.142356
40,1,BPSK,0.500000,15.000000,-91.990356
40,1,QPSK,0.500000,30.000000,-85.969356
40,1,QPSK,0.750000,45.000000,-84.208356
40,1,16QAM,0.500000,60.000000,-81.899356
80,1,256QAM,0.833333,390.000000,-64.785056
80,1,BPSK,0.500000,32.500000,-88.632056
80,1,QPSK,0.500000,65.000000,-82.611056
160,1,256QAM,0.833333,780.000000,-61.774756
160,1,BPSK,0.500000,65.000000,-85.621756
80,1,QPSK,0.750000,97.500000,-80.851056
160,1,QPSK,0.500000,130.000000,-79.600756
160,1,QPSK,0.750000,195.000000,-77.840756
40,1,16QAM,0.750000,90.000000,-80.139356
80,1,16QAM,0.500000,130.000000,-78.542056
160,1,16QAM,0.500000,260.000000,-75.531756
80,1,16QAM,0.750000,195.000000,-76.781056
160,1,16QAM,0.750000,390.000000,-73.770756
40,1,64QAM,0.666667,120.000000,-74.583356
160,1,64QAM,0.666667,520.000000,-68.214756
80,1,64QAM,0.666667,260.000000,-71.225056
40,1,64QAM,0.750000,135.000000,-74.071356
160,1,64QAM,0.750000,585.000000,-67.703756
80,1,64QAM,0.750000,292.500000,-70.714056
20,1,256QAM,0.750000,86.700000,-71.314656
20,2,BPSK,0.500000,13.000000,-95.621656
20,2,QPSK,0.500000,26.000000,-89.601656
20,2,QPSK,0.750000,39.000000,-87.840656
40,1,64QAM,0.833333,150.000000,-73.614356
20,2,16QAM,0.500000,52.000000,-85.531656
160,1,64QAM,0.833333,650.000000,-67.245756
80,1,64QAM,0.833333,325.000000,-70.256056
20,2,16QAM,0.750000,78.000000,-83.770656
20,2,64QAM,0.666667,104.000000,-78.214656
20,2,64QAM,0.750000,117.000000,-77.703656
20,2,64QAM,0.833333,130.000000,-77.245656
40,1,256QAM,0.750000,180.000000,-68.142356
160,1,256QAM,0.750000,780.000000,-61.774756
80,1,256QAM,0.750000,390.000000,-64.785056
20,2,256QAM,0.750000,156.000000,-71.774656
20,2,BPSK,0.500000,14.400000,-95.177656
20,2,QPSK,0.500000,28.900000,-89.141656
20,2,QPSK,0.750000,43.300000,-87.385656
20,2,16QAM,0.500000,57.800000,-85.072656
40,1,256QAM,0.833333,200.000000,-67.685356
40,2,BPSK,0.500000,27.000000,-92.447356
40,2,QPSK,0.500000,54.000000,-86.427356
20,2,16QAM,0.750000,86.700000,-83.311656
40,2,QPSK,0.750000,81.000000,-84.666356
160,1,256QAM,0.833333,866.700000,-61.316756
160,2,BPSK,0.500000,117.000000,-86.079756
160,2,QPSK,0.500000,234.000000,-80.058756
160,2,QPSK,0.750000,351.000000,-78.297756
40,2,16QAM,0.500000,108.000000,-82.357356
80,1,256QAM,0.833333,433.300000,-64.327056
80,2,BPSK,0.500000,58.500000,-89.090056
80,2,QPSK,0.500000,117.000000,-83.069056
160,2,16QAM,0.500000,468.000000,-75.988756
80,2,QPSK,0.750000,175.500000,-81.308056
40,2,16QAM,0.750000,162.000000,-80.596356
80,2,16QAM,0.500000,234.000000,-78.999056
160,2,16QAM,0.750000,702.000000,-74.228756
80,2,16QAM,0.750000,351.000000,-77.239056
20,2,64QAM,0.666667,115.600000,-77.755656
40,2,64QAM,0.666667,216.000000,-75.040356
